sourcetype,kind,cim_field,fdr_field,events,detail
crowdstrike:events:sensor,LOOKUP,DeactivationErrorCode_meaning,DeactivationErrorCode,,LOOKUP-crowdstrike_ta_DeactivationErrorCode via crowdstrike_ta_lookup_DeactivationErrorCode (DeactivationErrorCode_meaning)
crowdstrike:events:sensor,LOOKUP,DeviceConnectionStatus_meaning,DeviceConnectionStatus,,LOOKUP-crowdstrike_ta_DeviceConnectionStatus via crowdstrike_ta_lookup_DeviceConnectionStatus (DeviceConnectionStatus_meaning)
crowdstrike:events:sensor,LOOKUP,DllCharacteristics_meaning,DllCharacteristics,,LOOKUP-crowdstrike_ta_DllCharacteristics via crowdstrike_ta_bitmask_lookup_DllCharacteristics (result)
crowdstrike:events:sensor,LOOKUP,DnsResponseType_meaning,DnsResponseType,,LOOKUP-crowdstrike_ta_DnsResponseType via crowdstrike_ta_lookup_DnsResponseType (DnsResponseType_meaning)
crowdstrike:events:sensor,LOOKUP,DotnetModuleFlags_meaning,DotnetModuleFlags,,LOOKUP-crowdstrike_ta_DotnetModuleFlags via crowdstrike_ta_bitmask_lookup_DotnetModuleFlags (result)
crowdstrike:events:sensor,LOOKUP,DriverLoadFlags_meaning,DriverLoadFlags,,LOOKUP-crowdstrike_ta_DriverLoadFlags via crowdstrike_ta_lookup_DriverLoadFlags (DriverLoadFlags_meaning)
crowdstrike:events:sensor,LOOKUP,DriverPreventionStatusFlags_meaning,DriverPreventionStatusFlags,,LOOKUP-crowdstrike_ta_DriverPreventionStatusFlags via crowdstrike_ta_bitmask_lookup_DriverPreventionStatusFlags (result)
crowdstrike:events:sensor,LOOKUP,EnabledPrivilegesBitmask_meaning,EnabledPrivilegesBitmask,,LOOKUP-crowdstrike_ta_EnabledPrivilegesBitmask via crowdstrike_ta_bitmask_lookup_EnabledPrivilegesBitmask (result)
crowdstrike:events:sensor,LOOKUP,EndpointDescriptorAttributes_meaning,EndpointDescriptorAttributes,,LOOKUP-crowdstrike_ta_EndpointDescriptorAttributes via crowdstrike_ta_lookup_EndpointDescriptorAttributes (EndpointDescriptorAttributes_meaning)
crowdstrike:events:sensor,LOOKUP,ErrorSource_meaning,ErrorSource,,LOOKUP-crowdstrike_ta_ErrorSource via crowdstrike_ta_lookup_ErrorSource (ErrorSource_meaning)
crowdstrike:events:sensor,LOOKUP,ErrorStatus_meaning,ErrorStatus,,LOOKUP-crowdstrike_ta_ErrorStatus via crowdstrike_ta_lookup_ErrorStatus (ErrorStatus_meaning)
crowdstrike:events:sensor,LOOKUP,EtwChannelType_meaning,EtwChannelType,,LOOKUP-crowdstrike_ta_EtwChannelType via crowdstrike_ta_lookup_EtwChannelType (EtwChannelType_meaning)
crowdstrike:events:sensor,LOOKUP,EtwNegotiatedFlags_meaning,EtwNegotiatedFlags,,LOOKUP-crowdstrike_ta_EtwNegotiatedFlags via crowdstrike_ta_bitmask_lookup_EtwNegotiatedFlags (result)
crowdstrike:events:sensor,LOOKUP,ExceptionCode_meaning,ExceptionCode,,LOOKUP-crowdstrike_ta_ExceptionCode via crowdstrike_ta_lookup_ExceptionCode (ExceptionCode_meaning)
crowdstrike:events:sensor,LOOKUP,ExceptionInformation0_meaning,ExceptionInformation0,,LOOKUP-crowdstrike_ta_ExceptionInformation0 via crowdstrike_ta_lookup_ExceptionInformation0 (ExceptionInformation0_meaning)
crowdstrike:events:sensor,LOOKUP,ExclusionSource_meaning,ExclusionSource,,LOOKUP-crowdstrike_ta_ExclusionSource via crowdstrike_ta_lookup_ExclusionSource (ExclusionSource_meaning)
